id,name,slug,song_count,reading
1,Mrs. GREEN APPLE,mrs-green-apple,111,みせすぐりーんあっぷる
2,Official髭男dism,official-higedan-dism,85,おふぃしゃるひげだんでぃずむ
3,back number,back-number,105,ばっくなんばー
4,Ado,ado,33,あど
5,YOASOBI,yoasobi,21,よあそび
6,King Gnu,king-gnu,41,きんぐぬー
7,米津玄師,yonezu-kenshi,86,よねづけんし
8,Saucy Dog,saucy-dog,49,さうしーどっぐ
9,優里,yuuri,30,ゆうり
10,Vaundy,vaundy,38,ばうんでぃ
11,Eve,eve,39,いぶ
12,マカロニえんぴつ,macaroni-empitsu,41,まかろにえんぴつ
13,GReeeeN,greeeen,89,ぐりーん
14,ヨルシカ,yorushika,53,よるしか
15,RADWIMPS,radwimps,51,らっどうぃんぷす
16,sumika,sumika,28,すみか
17,ずっと真夜中でいいのに。,zutto-mayonaka-de-iinoni,33,ずっとまよなかでいいのに
18,あいみょん,aimyon,46,あいみょん
19,Novelbright,novelbright,22,のーべるぶらいと
20,星野源,hoshino-gen,31,ほしのげん
21,Mr.Children,mr-children,88,みすたーちるどれん
22,スピッツ,spitz,68,すぴっつ
23,SEKAI NO OWARI,sekai-no-owari,38,せかいのおわり
24,BUMP OF CHICKEN,bump-of-chicken,101,ばんぷおぶちきん
25,My Hair is Bad,my-hair-is-bad,30,まいへあーいずばっど
26,ONE OK ROCK,one-ok-rock,43,わんおくろっく
27,藤井風,fujii-kaze,27,ふじいかぜ
28,まふまふ,mafumafu,15,まふまふ
29,キタニタツヤ,kitanitatsuya,16,きたにたつや
30,LiSA,lisa,19,りさ
31,Creepy Nuts,creepy-nuts,16,くりーぴーなっつ
32,クリープハイプ,creephyp,32,くりーぷはいぷ
33,川崎鷹也,kawasaki-takaya,10,かわさきたかや
34,UVERworld,uverworld,57,うーばーわーるど
35,Aimer,aimer,16,えめ
36,[Alexandros],alexandros,43,あれきさんどろす
38,Aqua Timez,aqua-timez,26,あくあたいむず
39,Acid Black Cherry,acid-black-cherry,25,あしっどぶらっくちぇりー
43,indigo la End,indigo-la-end,78,いんでぃごらえんど
44,嵐,arashi,36,あらし
45,幾田りら,ikutalila,10,いくたりら
46,アンダーグラフ,undergraph,11,あんだーぐらふ
47,赤西仁,akanishi-jin,4,あかにしじん
48,ORANGE RANGE,orange-range,14,おれんじれんじ
49,家入レオ,ieiri-reo,14,いえいりれお
50,奥華子,oku-hanako,13,おくはなこ
51,宇多田ヒカル,utada-hikaru,18,うただひかる
54,小田和正,oda-kazumasa,20,おだかずまさ
55,オレンジスパイニクラブ,orangespinycrab,4,おれんじすぱいにくらぶ
56,w-inds.,w-inds,13,うぃんず
57,ATSUSHI,atsushi,12,あつし
58,大橋卓弥,oohashi-takuya,5,おおはしたくや
59,いきものがかり,ikimono-gakari,29,いきものがかり
60,絢香,ayaka,15,あやか
62,HY,hy,14,えいちわい
63,EGOIST,egoist,10,えごいすと
64,秋山黄色,akiyama-kiiro,13,あきやまきいろ
65,アイビーカラー,ibe-caller,10,あいびーからー
66,大塚愛,ootsuka-ai,13,おおつかあい
67,amazarashi,amazarashi,19,あまざらし
68,Uru,uru,14,うる
69,瑛人,eito,4,えいと
70,おいしくるメロンパン,oisiclemelonpan,8,おいしくるめろんぱん
71,ET-KING,et-king,10,いーてぃーきんぐ
72,Absolute area,absolute-area,3,あぶそりゅーとえりあ
73,aiko,aiko,17,あいこ
74,Awesome City Club,awesome-city-club,4,おーさむしてぃくらぶ
75,androp,androp,10,あんどろっぷ
76,雨のパレード,amenoparade,10,あめのぱれーど
77,大森元貴,ohmori-motoki,10,おおもりもとき
78,エレファントカシマシ,elephant-kashimashi,16,えれふぁんとかしまし
79,X JAPAN,x-japan,14,えっくすじゃぱん
80,Ayase,ayase,5,あやせ
81,大原櫻子,ohara-sakurako,7,おおはらさくらこ
82,安室奈美恵,amuro-namie,10,あむろなみえ
83,Omoinotake,omoinotake,13,おもいのたけ
84,ASIAN KUNG-FU GENERATION,asian-kung-fu-generation,19,あじあんかんふーじぇねれーしょん
85,AKASAKI,akasaki,4,あかさき
86,尾崎豊,ozaki-yutaka,7,おざきゆたか
87,石崎ひゅーい,ishizakihuwie,5,いしざきひゅーい
88,井上陽水,inoue-yosui,7,いのうえようすい
89,ano,ano,6,あの
90,＝LOVE,equal-love,8,いこーるらぶ
91,青山テルマ,aoyama-thelma,4,あおやまてるま
92,伊藤由奈,ito-yuna,6,いとうゆな
93,アンジェラ・アキ,angela-aki,4,あんじぇらあき
94,小野正利,ono-masatoshi,5,おのまさとし
95,稲垣潤一,inagaki-junichi,2,いながきじゅんいち
97,ケツメイシ,ketsumeishi,21,けつめいし
99,コブクロ,kobukuro,34,こぶくろ
100,関ジャニ∞,kanjani,15,かんじゃにえいと
101,神様、僕は気づいてしまった,kamiboku,11,かみさまぼくはきづいてしまった
102,神はサイコロを振らない,kamisai,11,かみはさいころをふらない
103,GLAY,glay,42,ぐれい
105,Galileo Galilei,galileo-galilei,16,がりれおがりれい
106,Kiroro,kiroro,21,きろろ
107,KinKi Kids,kinki-kids,12,きんききっず
108,ClariS,claris,21,くらりす
109,CUTIE STREET,cutie-street,7,きゅーてぃーすとりーと
111,クリス・ハート,chris-hart,12,くりすはーと
112,桑田佳祐,kuwata-keisuke,25,くわたけいすけ
113,久保田利伸,kubota-toshinobu,4,くぼたとしのぶ
114,くるり,quruli,14,くるり
115,KANA-BOON,kana-boon,12,かなぶーん
117,キュウソネコカミ,kyusonekokami,22,きゅうそねこかみ
119,神山羊,kamiyama-you,4,かみやまよう
120,コレサワ,koresawa,11,これさわ
121,こっちのけんと,kocchi-no-kento,4,こっちのけんと
122,郷ひろみ,gou-hiromi,4,ごうひろみ
123,倖田來未,kodakumi,7,こうだくみ
125,桐谷健太,kiritani-kenta,1,きりたにけんた
126,海援隊,kaientai,6,かいえんたい
127,CANDY TUNE,candy-tune,5,きゃんでぃちゅーん
128,銀杏BOYZ,gingnangboyz,7,ぎんなんぼーいず
129,ゴールデンボンバー,goldenbomber,7,ごーるでんぼんばー
131,クリスタルキング,crystalking,2,くりすたるきんぐ
132,スキマスイッチ,sukimaswitch,47,すきますいっち
133,SMAP,smap,23,すまっぷ
134,菅田将暉,suda-masaki,22,すだまさき
135,SunSet Swish,sunset-swish,9,さんせっとすうぃっしゅ
137,サカナクション,sakanaction,34,さかなくしょん
138,Superfly,superfly,16,すーぱーふらい
139,サスケ,sasuke,10,さすけ
140,サザンオールスターズ,southern-all-stars,18,さざんおーるすたーず
141,supercell,supercell,16,すーぱーせる
142,シド,shido,21,しど
144,SPYAIR,spyair,19,すぱいえあー
145,椎名林檎,shiina-ringo,13,しいなりんご
146,ジェニーハイ,genie-high,2,じぇにーはい
148,Sonar Pocket,sonar-pocket,12,そなーぽけっと
149,清水翔太,shimizu-shota,24,しみずしょうた
151,湘南乃風,shonan-no-kaze,12,しょうなんのかぜ
152,斉藤和義,saitou-kazuyoshi,8,さいとうかずよし
153,JUJU,juju,15,じゅじゅ
154,SPiCYSOL,spicysol,4,すぱいしーそる
155,純烈,junretsu,3,じゅんれつ
156,Suchmos,suchmos,5,さちもす
157,須田景凪,suda-keina,12,すだけいな
158,さユり,sayuri,11,さゆり
161,THE YELLOW MONKEY,the-yellow-monkey,13,ざいえろーもんきー
162,the shes gone,the-shes-gone,11,ざしーずごーん
163,女王蜂,ziyoou-vachi,12,じょおうばち
164,水曜日のカンパネラ,wed-camp,5,すいようびのかんぱねら
165,鈴木伸之,suzuki-nobuyuki,1,すずきのぶゆき
166,相対性理論,soutaiseiriron,4,そうたいせいりろん
167,SPEED,speed,5,すぴーど
168,サンボマスター,sambo-master,11,さんぼますたー
169,シャ乱Q,sharanq,4,しゃらんきゅう
170,THE BLUE HEARTS,the-blue-hearts,5,ざぶるーはーつ
171,ささきいさお,sasaki-isao,5,ささきいさお
172,坂本九,sakamoto-kyu,2,さかもときゅう
173,猿岩石,saruganseki,1,さるがんせき
174,SixTONES,sixtones,8,すとーんず
175,DA PUMP,da-pump,12,だぱんぷ
176,橘慶太,tachibana-keita,10,たちばなけいた
177,高橋優,takahashi-yu,22,たかはしゆう
178,高橋洋子,takahashi-youko,11,たかはしようこ
179,TK from 凛として時雨,tk-from-ling-tosite-sigure,15,てぃーけーふろむりんとしてしぐれ
180,玉置浩二,tamaki-kouji,13,たまきこうじ
181,ドリーミング,dreaming,15,どりーみんぐ
182,Da-iCE,da-ice,15,だいす
183,DISH//,dish,15,でぃっしゅ
184,DREAMS COME TRUE,dreams-come-true,10,どりーむずかむとぅるー
185,DOES,does,9,だず
186,AAA,aaa,16,とりぷるえー
187,Tani Yuuki,tani-yuuki,19,たにゆうき
188,ツユ,tuyu,13,つゆ
189,TOOBOE,tooboe,6,とおぼえ
190,CHiCO with HoneyWorks,chico-with-honeyworks,6,ちこうぃずはにーわーくす
191,tuki.,tuki,5,つき
192,DEEN,deen,4,でぃーん
193,手嶌葵,teshima-aoi,3,てしまあおい
194,徳永英明,tokunaga-hideaki,3,とくながひであき
195,DEEP,deep,4,でぃーぷ
196,寺尾聰,terao-akira,5,てらおあきら
197,舘ひろし,tachi-hiroshi,3,たちひろし
198,千綿ヒデノリ,chiwata-hidenori,2,ちわたひでのり
199,TOKIO,tokio,7,ときお
200,長渕剛,nagabuchi-tsuyoshi,20,ながぶちつよし
201,中西保志,nakanishi-yasushi,12,なかにしやすし
202,NEWS,news,20,にゅーす
203,西野カナ,nishino-kana,23,にしのかな
205,中島美嘉,nakashima-mika,12,なかしまみか
206,Number_i,number-i,5,なんばーあい
207,NiziU,niziu,10,にじゅー
208,なとり,natori,10,なとり
209,中島みゆき,nakajima-miyuki,8,なかじまみゆき
210,にしな,nishina,10,にしな
211,夏川りみ,natsukawa-rimi,10,なつかわりみ
212,新浜レオン,niihama-leon,5,にいはまれおん
213,西田敏行,nishida-toshiyuki,1,にしだとしゆき
214,中川翔子,nakagawashoko,5,なかがわしょうこ
216,flumpool,flumpool,25,ふらんぷーる
219,秦基博,hata-motohiro,27,はたもとひろ
220,ハジ→,haji,20,はじ
221,ポルノグラフィティ,porno-graffitti,43,ぽるのぐらふぃてぃ
222,一青窈,hitoto-you,9,ひととよう
223,Hilcrhyme,hilcrhyme,34,ひるくらいむ
225,浜崎あゆみ,hamasaki-ayumi,6,はまさきあゆみ
226,Whiteberry,whiteberry,11,ほわいとべりー
228,福山雅治,fukuyama-masaharu,24,ふくやままさはる
229,whiteeeen,whiteeeen,13,ほわいてぃーん
230,FUNKY MONKEY BABYS,funky-monkey-babys,16,ふぁんきーもんきーべいびーず
231,平井堅,hirai-ken,26,ひらいけん
232,フレデリック,frederic,25,ふれでりっく
233,04 Limited Sazabys,04-limited-sazabys,24,ふぉーりみてっどさざびーず
234,B’z,bz,38,びーず
235,BTS,bts,11,びーてぃーえす
236,ハルカミライ,harukamirai,6,はるかみらい
237,BoA,boa,4,ぼあ
238,FOMARE,fomare,5,ふぉまれ
239,FRUITS ZIPPER,fruits-zipper,5,ふるーつじっぱー
240,BEGIN,begin,3,びぎん
241,フランク永井,furanku-nagai,6,ふらんくながい
242,BE:FIRST,befirst,10,びーふぁーすと
243,BUCK-TICK,buck-tick,5,ばくちく
244,広瀬香美,hirose-kohmi,5,ひろせこうみ
247,松任谷由実,matsutouya-yumi,17,まつとうやゆみ
248,水樹奈々,mizuki-nana,21,みずきなな
249,MY FIRST STORY,my-first-story,29,まいふぁーすとすとーりー
250,松本梨香,matsumoto-rika,16,まつもとりか
252,槇原敬之,makihara-noriyuki,10,まきはらのりゆき
253,mao,mao,9,まお
254,MONGOL800,mongol800,12,もんごるはっぴゃく
256,miwa,miwa,22,みわ
258,美波,minami,8,みなみ
259,マルシィ,marcy,11,まるしぃ
260,MISIA,misia,7,みーしゃ
261,美川憲一,mikawa-kenichi,3,みかわけんいち
263,UNISON SQUARE GARDEN,unison-square-garden,28,ゆにぞんすくえあがーでん
264,ゆず,yuzu,30,ゆず
265,遊助,yusuke,14,ゆうすけ
266,山下智久,yamashita-tomohisa,12,やましたともひさ
269,yama,yama,5,やま
270,YUI,yui,11,ゆい
271,yonige,yonige,10,よにげ
272,夜のひと笑い,yoru-no-hitowarai,1,よるのひとわらい
273,ヤングスキニー,yangskinny,11,やんぐすきにー
274,吉幾三,yoshi-ikuzo,4,よしいくぞう
275,吉田拓郎,yoshida-takuro,3,よしだたくろう
276,山下達郎,yamashita-tatsuro,5,やましたたつろう
278,レベッカ,rebekka,16,れべっか
