id,artist_name,title,lowest_note,highest_note,falsetto_note,source
5325,(sic)boy,"Afraid?? feat. nothing,nowhere.",lowG#,hiB,,vocal-range.com
5042,−真天地開闢集団−ジグザグ,Drip,lowG,hiD#,hiD#,vocal-range.com
4050,04 Limited Sazabys,Every,mid1E,hiC,,vocal-range.com
3355,04 Limited Sazabys,Feel,mid1F#,hiD,,voice-key.news
4639,04 Limited Sazabys,Galapagos,mid1G#,hiD#,,vocal-range.com
4801,04 Limited Sazabys,Galapagos Ⅱ,mid2A#,hiD#,hiC#,vocal-range.com
5825,04 Limited Sazabys,Jumper,mid2A,hiE,,vocal-range.com
3359,04 Limited Sazabys,Just,mid2A,hiC#,,voice-key.news
4734,04 Limited Sazabys,Keep Going,mid1F#,hiB,hiC#,vocal-range.com
3356,04 Limited Sazabys,Kitchen,mid1G#,hiB,,voice-key.news
3348,04 Limited Sazabys,Letter,mid1G#,hiA,,voice-key.news
3361,04 Limited Sazabys,Montage,mid2B,hiC#,,voice-key.news
3352,04 Limited Sazabys,My HERO,mid1F#,hiD,hiF,voice-key.news
5851,04 Limited Sazabys,Squall,mid1F,hiD#,hiF#,vocal-range.com
3349,04 Limited Sazabys,Terminal,mid1F#,hiC,,voice-key.news
3358,04 Limited Sazabys,Utopia,mid1C#,hiE,,voice-key.news
6394,04 Limited Sazabys,climb,mid1G,hiC,hiD,vocal-range.com
3360,04 Limited Sazabys,fade,mid2A#,hiD#,,voice-key.news
3351,04 Limited Sazabys,fiction,mid2B,hiB,,voice-key.news
3896,04 Limited Sazabys,hello,mid1G#,hiB,,vocal-range.com
3353,04 Limited Sazabys,knife,mid2A,hiC,,voice-key.news
3357,04 Limited Sazabys,midnight cruising,mid1G#,hiB,,voice-key.news
3350,04 Limited Sazabys,milk,mid2B,hiC,,voice-key.news
3346,04 Limited Sazabys,monolith,mid1G,hiC,,voice-key.news
3354,04 Limited Sazabys,soup,mid2B,hiC,,voice-key.news
3345,04 Limited Sazabys,swim,mid2B,hiC#,hiE,voice-key.news
4063,10-FEET,その向こうへ,mid1F,hiA#,,vocal-range.com
4544,10-FEET,ヒトリセカイ,mid1D#,hiA#,,vocal-range.com
5523,10-FEET,第ゼロ感,mid1F,hiA,,vocal-range.com
4062,10-FEET,蜃気楼,mid1C,hiA#,,vocal-range.com
6340,164 feat.GUMI,天ノ弱,mid2A,hiG,hiG#,vocal-range.com
4508,175R,「手紙」,mid1G,hiA,,vocal-range.com
5087,1986オメガトライブ,君は1000%,mid1G,hiA,,vocal-range.com
5211,35.7,祝日天国,mid1E,hiC,hiF,vocal-range.com
5153,703号室,偽物勇者,mid2A,hiC,hiD#,vocal-range.com
4590,9mm Parabellum Bullet,カモメ,mid1F#,mid2G#,,vocal-range.com
4072,9mm Parabellum Bullet,ハートに火をつけて,mid1F#,hiB,,vocal-range.com
4008,＝LOVE,とくべチュ、して,mid2C,hiD#,hiD#,vocal-range.com
2859,AAA,BAD LOVE,mid1C#,hiA#,,voice-key.news
2864,AAA,LIFE,mid1G,,hiD,voice-key.news
2869,AAA,LOVER,mid1F,hiD,hiD,voice-key.news
2868,AAA,SHOW TIME,mid1D,hiA,hiA,voice-key.news
2858,AAA,Wake up!,mid1G,hiA#,,voice-key.news
2860,AAA,drama,mid1F,hiC#,hiC#,voice-key.news
2857,AAA,さよならの前に,mid1F,mid2G#,hiA#,voice-key.news
2866,AAA,ぼくの憂鬱と不機嫌な彼女,mid1D,hiB,,voice-key.news
2865,AAA,アシタノヒカリ,mid1F#,hiB,mid2F#,voice-key.news
2854,AAA,恋音と雨空,mid1E,mid2G#,,voice-key.news
2855,AAA,愛してるのに、愛せない,mid1F,hiC,,voice-key.news
2867,AAA,涙のない世界,mid1F,hiA,,voice-key.news
2862,AAA,笑顔のループ,mid1C#,hiA,,voice-key.news
2861,AAA,虹,mid1F#,hiC#,,voice-key.news
2856,AAA,逢いたい理由,mid1D,hiC,,voice-key.news
2863,AAA,風に薫る夏の記憶,lowG,hiC,hiD,voice-key.news
4106,ACE COLLECTION,花火大会,mid1B,mid2G#,hiC,vocal-range.com
4921,ACIDMAN,輝けるもの,mid1F#,hiA,hiA,vocal-range.com
5463,AI,Story,mid1G,hiC,,vocal-range.com
1884,AKASAKI,Bunny Girl,mid1C,mid2E,,voice-key.news
1887,AKASAKI,夏実,mid1C#,mid2G,,voice-key.news
1885,AKASAKI,爆速論理ness,mid1D,mid2F,,voice-key.news
1886,AKASAKI,薔薇と散る,mid1C,mid2F,hiA#,voice-key.news
4078,AKB48,フライングゲット,mid1G,hiD#,,vocal-range.com
4119,AKB48,恋するフォーチュンクッキー,mid2A,hiC#,,vocal-range.com
5673,AKINO from bless4,海色,mid2C,hiF,,vocal-range.com
6368,ALI,LOST IN PARADISE feat. AKLO,mid1A#,hiA#,hiC,vocal-range.com
5872,ANTENA,深い深い青,mid1D#,hiB,,vocal-range.com
4814,ARuFa,さんさーら,mid1A#,hiC#,,vocal-range.com
6233,ASCA,RESISTER,mid1G#,hiC#,hiD#,vocal-range.com
1874,ASIAN KUNG-FU GENERATION,Re:Re:,mid1F#,mid2G#,,voice-key.news
1881,ASIAN KUNG-FU GENERATION,それでは、また明日,mid1D#,mid2G#,,voice-key.news
1875,ASIAN KUNG-FU GENERATION,アフターダーク,mid1D#,mid2G#,hiC#,voice-key.news
1879,ASIAN KUNG-FU GENERATION,スローダウン,mid1C#,mid2F#,hiA,voice-key.news
1871,ASIAN KUNG-FU GENERATION,ソラニン,mid1B,mid2G#,,voice-key.news
1877,ASIAN KUNG-FU GENERATION,ブラッドサーキュレーター,mid1F,mid2G,mid2G,voice-key.news
1880,ASIAN KUNG-FU GENERATION,ムスタング,mid1B,hiA,,voice-key.news
1872,ASIAN KUNG-FU GENERATION,リライト,mid1E,mid2G#,,voice-key.news
4322,ASIAN KUNG-FU GENERATION,ワールドアパート,mid1B,hiB,,vocal-range.com
1878,ASIAN KUNG-FU GENERATION,君という花,mid1C#,mid2F#,,voice-key.news
1883,ASIAN KUNG-FU GENERATION,夜の向こう,mid1C#,mid2G,,voice-key.news
5004,ASIAN KUNG-FU GENERATION,新世紀のラブソング,lowE,mid2F#,hiA,vocal-range.com
4073,ASIAN KUNG-FU GENERATION,未だ見ぬ明日に,mid1A#,hiA#,,vocal-range.com
3991,ASIAN KUNG-FU GENERATION,未来の破片,mid1G,hiB,hiD,vocal-range.com
4493,ASIAN KUNG-FU GENERATION,江ノ島エスカー,mid1D,hiA,,vocal-range.com
1876,ASIAN KUNG-FU GENERATION,荒野を歩け,mid1B,hiA,,voice-key.news
5497,ASIAN KUNG-FU GENERATION,転がる岩、君に朝が降る,mid1E,hiA#,hiB,vocal-range.com
1882,ASIAN KUNG-FU GENERATION,迷子犬と雨のビート,lowG,mid2G,,voice-key.news
1873,ASIAN KUNG-FU GENERATION,遥か彼方,mid2B,hiA,,voice-key.news
5293,ASKA,はじまりはいつも雨,mid1F,mid2G#,,vocal-range.com
1614,ATSUSHI,BLACK RAIN,mid1D,mid2F,,voice-key.news
1622,ATSUSHI,MELROSE 〜愛さない約束〜,mid1G#,mid2G#,hiA#,voice-key.news
1624,ATSUSHI,いつかきっと,mid1D,hiA,hiC#,voice-key.news
1618,ATSUSHI,ふるさと,mid1D,mid2E,,voice-key.news
1620,ATSUSHI,二人の未来,mid1F,mid2G#,hiC#,voice-key.news
1621,ATSUSHI,愛燦燦,mid1B,mid2F,,voice-key.news
1615,ATSUSHI,桜の季節,mid1D#,mid2G,hiA#,voice-key.news
1616,ATSUSHI,砂時計,mid1A#,mid2G,hiA,voice-key.news
1613,ATSUSHI,糸,mid1D,mid2F,mid2G#,voice-key.news
1619,ATSUSHI,言葉にできない,mid1G#,mid2G#,hiA#,voice-key.news
1623,ATSUSHI,青い龍,mid1D#,mid2G#,hiC,voice-key.news
1617,ATSUSHI,願い,mid1C,mid2G#,hiC,voice-key.news
1777,Absolute area,ひと夏の君へ,mid1D#,hiA#,hiD#,voice-key.news
1776,Absolute area,カフネ,mid1D,hiC,hiD#,voice-key.news
1775,Absolute area,遠くまで行く君に,mid1C,mid2G,hiD,voice-key.news
1376,Acid Black Cherry,20+∞Century Boys,mid1D#,hiB,,voice-key.news
1380,Acid Black Cherry,Bit Stupid,mid1E,hiA#,,voice-key.news
1368,Acid Black Cherry,CRISIS,mid2A,hiA#,,voice-key.news
1377,Acid Black Cherry,DRAGON CARNIVAL,mid1E,hiB,,voice-key.news
1369,Acid Black Cherry,Greed Greed Greed,mid1G,hiA#,hiC,voice-key.news
1364,Acid Black Cherry,INCUBUS,mid1E,hiA#,hiA#,voice-key.news
1383,Acid Black Cherry,Murder Licence,mid2A,hiA,,voice-key.news
1382,Acid Black Cherry,Prologue End,mid1E,hiB,,voice-key.news
1375,Acid Black Cherry,SPELL MAGIC,mid1B,hiB,,voice-key.news
1387,Acid Black Cherry,re:birth,mid1E,hiA,,voice-key.news
1374,Acid Black Cherry,scar,mid1A,hiA#,hiC,voice-key.news
1373,Acid Black Cherry,sins,mid1F,hiA#,,voice-key.news
1366,Acid Black Cherry,イエス,mid1D#,hiA#,,voice-key.news
1385,Acid Black Cherry,シャングリラ,mid1F#,hiA#,,voice-key.news
1371,Acid Black Cherry,ジグソー,mid1B,hiA,,voice-key.news
1386,Acid Black Cherry,ハーシー,mid1G#,hiB,,voice-key.news
1379,Acid Black Cherry,ピストル,mid1F#,hiB,,voice-key.news
1384,Acid Black Cherry,優しい嘘,mid1F#,hiA,,voice-key.news
1381,Acid Black Cherry,冬の幻,mid2A,hiA,hiC,voice-key.news
1367,Acid Black Cherry,君がいない、あの日から,mid1F#,hiA,hiB,voice-key.news
1372,Acid Black Cherry,少女の祈り,mid1E,hiA,,voice-key.news
1365,Acid Black Cherry,愛してない,mid1G,hiA#,,voice-key.news
1378,Acid Black Cherry,眠り姫,mid1F#,hiA#,,voice-key.news
1388,Acid Black Cherry,蝶,mid1E,hiA#,,voice-key.news
1370,Acid Black Cherry,黒猫 ～Adult Black Cat～,mid1G,hiA#,,voice-key.news
5079,Ado,DIGNITY,mid1F#,hiC#,hiD#,vocal-range.com
293,Ado,FREEDOM,mid1F#,hiE,hiG,voice-key.news
3914,Ado,MAGIC,mid1G#,hiD,hiF#,vocal-range.com
286,Ado,Tot Musica,mid1E,hiD,,voice-key.news
277,Ado,うっせぇわ,mid2A,hiD#,hiC,voice-key.news
4256,Ado,わたしに花束,mid1G,hiC,hiD#,vocal-range.com
5357,Ado,アタシは問題作,mid1G,hiE,hiE,vocal-range.com
276,Ado,ウタカタララバイ,mid2A#,hiD#,hihiC#,voice-key.news
283,Ado,ギラギラ,mid1F#,hiD,hiD#,voice-key.news
294,Ado,クラクラ,mid1G,hiD,hiD,voice-key.news
291,Ado,ドメスティックでバイオレンス,mid1D,hiC#,hiA#,voice-key.news
285,Ado,マザーランド,mid1F#,hiD#,hiG#,voice-key.news
292,Ado,ラッキー・ブルート,mid1F#,hiC#,hiC#,voice-key.news
5296,Ado,リベリオン,mid1G#,hiF#,hiF#,vocal-range.com
4862,Ado,ルル,mid1D#,hiD#,hiE,vocal-range.com
281,Ado,レディメイド,mid1C#,hiD#,hiD#,voice-key.news
4071,Ado,ロックスター,mid1F,hiD,hiF,vocal-range.com
